normal_proportion,n_normal,n_positive,ranking_inversion_rate,mean_reported_dice_a,mean_reported_dice_b,ci_95_a_low,ci_95_a_high,ci_95_b_low,ci_95_b_high,model_a_true_dice,model_b_true_dice,model_a_fp_rate,model_b_fp_rate
0.3,234,546,0.0,0.7340981146179195,0.6520279946794187,0.7173404879857508,0.7497413791301614,0.6363308905759044,0.6659561487922501,0.7482,0.5887,0.3,0.2
0.35,273,507,0.0,0.7309288377425958,0.6620497094834685,0.7089463070535631,0.7467684384020654,0.6435606701492843,0.6752210519845091,0.7482,0.5887,0.3,0.2
0.4,312,468,0.0,0.7282897799894829,0.6736563064864082,0.7070927557531723,0.744585400330475,0.6555222731344251,0.6903085807934924,0.7482,0.5887,0.3,0.2
0.5,390,390,0.035,0.7252092511372598,0.6934896752245231,0.7036095443245192,0.7467962523752737,0.673369543315819,0.7156041208041864,0.7482,0.5887,0.3,0.2
0.0,0,780,0.0,0.7480951536626561,0.5888055905073604,0.7445395016646956,0.7516551320357603,0.5857811156914733,0.592512969876689,0.7482,0.5887,0.5,0.2
0.05,39,741,0.0,0.7357953815059035,0.5991003673332529,0.7282372228493519,0.7445220251975162,0.5921879284108899,0.6053722387846711,0.7482,0.5887,0.5,0.2
0.1,78,702,0.0,0.7233547326336821,0.6095766100002252,0.712216243853068,0.7356873372294004,0.5993117890471278,0.619768307524419,0.7482,0.5887,0.5,0.2
0.15,117,663,0.0,0.7099545622804506,0.6211162562219402,0.6952910713494047,0.7233328875390544,0.6104001637698616,0.6313472536706091,0.7482,0.5887,0.5,0.2
0.17,132,648,0.0,0.7052430019732802,0.6243541905700557,0.6899154725004899,0.7193116509765368,0.6111998958694612,0.6356201169179624,0.7482,0.5887,0.5,0.2
0.2,156,624,0.0,0.6992622256550451,0.6304524533010165,0.6844543627227475,0.7161429424698026,0.6184046915153453,0.6434071439194718,0.7482,0.5887,0.5,0.2
0.25,195,585,0.0,0.6860732148617046,0.6414893883228895,0.6673182985365113,0.702850292464696,0.6279958777366288,0.6553926180221076,0.7482,0.5887,0.5,0.2
0.3,234,546,0.04,0.6739122171820219,0.6520279946794187,0.6540738010352797,0.6928412611208262,0.6363308905759044,0.6659561487922501,0.7482,0.5887,0.5,0.2
0.35,273,507,0.495,0.6613583249220829,0.6620497094834685,0.6384185869544531,0.67999479259952,0.6435606701492843,0.6752210519845091,0.7482,0.5887,0.5,0.2
